,movie,year,imdb,metascore,votes,genre
1800,Inglourious Basterds,(2009),8.3,69.0,1083644,"Adventure, Drama, War"
1801,Avatar,(2009),7.8,83.0,1015337,"Action, Adventure, Fantasy"
1802,Up,(2009),8.3,88.0,818161,"Animation, Adventure, Comedy"
1803,The Hangover,(2009),7.7,73.0,655209,Comedy
1804,District 9,(2009),7.9,81.0,593882,"Sci-Fi, Thriller"
1805,Star Trek,(2009),8.0,82.0,550490,"Action, Adventure, Sci-Fi"
1806,Sherlock Holmes,(2009),7.6,,538624,"Action, Adventure, Crime"
1807,Zombieland,(2009),7.7,73.0,446046,"Adventure, Comedy, Horror"
1808,Watchmen,(2009),7.6,,443304,"Action, Drama, Mystery"
1809,500 Days of Summer,(2009),7.7,76.0,432001,"Comedy, Drama, Romance"
1810,X-Men Origins: Wolverine,(2009),6.6,,424858,"Action, Adventure, Sci-Fi"
1811,Harry Potter and the Half-Blood Prince,(2009),7.6,78.0,402347,"Adventure, Family, Fantasy"
1812,Transformers: Revenge of the Fallen,(2009),6.0,,358483,"Action, Adventure, Sci-Fi"
1813,2012,(I) (2009),5.8,,320912,"Action, Adventure, Sci-Fi"
1814,Terminator Salvation,(2009),6.6,,315200,"Action, Adventure, Sci-Fi"
1815,Moon,(2009),7.9,67.0,305460,"Drama, Mystery, Sci-Fi"
1816,Modern Family,(2009– ),8.4,,302111,"Comedy, Romance"
1817,Up in the Air,(I) (2009),7.4,83.0,296586,"Drama, Romance"
1818,3 Idiots,(2009),8.4,67.0,288735,"Comedy, Drama"
1819,The Proposal,(I) (2009),6.7,,265047,"Comedy, Drama, Romance"
1820,The Blind Side,(2009),7.7,,259908,"Biography, Drama, Sport"
1821,Public Enemies,(2009),7.0,70.0,256872,"Biography, Crime, Drama"
1822,The Vampire Diaries,(2009–2017),7.7,,256781,"Drama, Fantasy, Horror"
1823,Angels & Demons,(2009),6.7,,246936,"Mystery, Thriller"
1824,Law Abiding Citizen,(2009),7.4,,246698,"Crime, Drama, Thriller"
1825,The Twilight Saga: New Moon,(2009),4.7,,243814,"Adventure, Drama, Fantasy"
1826,Fast & Furious,(2009),6.6,,236689,"Action, Crime, Thriller"
1827,Hachi: A Dog's Tale,(2009),8.1,,215358,"Drama, Family"
1828,Knowing,(2009),6.2,,205755,"Action, Drama, Mystery"
1829,The Road,(I) (2009),7.3,64.0,202920,"Adventure, Drama"
1830,Ice Age: Dawn of the Dinosaurs,(2009),7.0,,197012,"Animation, Action, Adventure"
1831,The Girl with the Dragon Tattoo,(2009),7.8,76.0,194371,"Crime, Drama, Mystery"
1832,Mr. Nobody,(2009),7.9,63.0,191667,"Drama, Fantasy, Romance"
1833,G.I. Joe: The Rise of Cobra,(2009),5.8,,189104,"Action, Adventure, Sci-Fi"
1834,The Ugly Truth,(2009),6.5,,185943,"Comedy, Romance"
1835,"I Love You, Man",(2009),7.0,70.0,182965,"Comedy, Romance"
1836,Cloudy with a Chance of Meatballs,(2009),7.0,66.0,180737,"Animation, Action, Adventure"
1837,Coraline,(2009),7.7,80.0,174830,"Animation, Drama, Fantasy"
1838,Drag Me to Hell,(2009),6.6,83.0,174492,"Horror, Thriller"
1839,Fantastic Mr. Fox,(2009),7.8,83.0,171749,"Animation, Adventure, Comedy"
1840,Orphan,(2009),7.0,,171231,"Horror, Mystery, Thriller"
1841,Community,(2009–2015),8.5,,169941,Comedy
1842,The Taking of Pelham 123,(2009),6.4,,169585,"Action, Crime, Thriller"
1843,The Secret in Their Eyes,(2009),8.2,80.0,168225,"Drama, Mystery, Romance"
1844,Parks and Recreation,(2009–2015),8.6,,166596,Comedy
1845,17 Again,(2009),6.4,,163599,"Comedy, Drama, Fantasy"
1846,Surrogates,(2009),6.3,,161699,"Action, Sci-Fi, Thriller"
1847,Night at the Museum: Battle of the Smithsonian,(2009),6.0,,155713,"Adventure, Comedy, Family"
1848,Mary and Max,(2009),8.1,,147477,"Animation, Comedy, Drama"
1849,He's Just Not That Into You,(2009),6.4,,147152,"Comedy, Drama, Romance"
1850,Inglourious Basterds,(2009),8.3,69.0,1083644,"Adventure, Drama, War"
1851,Avatar,(2009),7.8,83.0,1015337,"Action, Adventure, Fantasy"
1852,Up,(2009),8.3,88.0,818161,"Animation, Adventure, Comedy"
1853,The Hangover,(2009),7.7,73.0,655209,Comedy
1854,District 9,(2009),7.9,81.0,593882,"Sci-Fi, Thriller"
1855,Star Trek,(2009),8.0,82.0,550490,"Action, Adventure, Sci-Fi"
1856,Sherlock Holmes,(2009),7.6,,538624,"Action, Adventure, Crime"
1857,Zombieland,(2009),7.7,73.0,446046,"Adventure, Comedy, Horror"
1858,Watchmen,(2009),7.6,,443304,"Action, Drama, Mystery"
1859,500 Days of Summer,(2009),7.7,76.0,432001,"Comedy, Drama, Romance"
1860,X-Men Origins: Wolverine,(2009),6.6,,424858,"Action, Adventure, Sci-Fi"
1861,Harry Potter and the Half-Blood Prince,(2009),7.6,78.0,402347,"Adventure, Family, Fantasy"
1862,Transformers: Revenge of the Fallen,(2009),6.0,,358483,"Action, Adventure, Sci-Fi"
1863,2012,(I) (2009),5.8,,320912,"Action, Adventure, Sci-Fi"
1864,Terminator Salvation,(2009),6.6,,315200,"Action, Adventure, Sci-Fi"
1865,Moon,(2009),7.9,67.0,305460,"Drama, Mystery, Sci-Fi"
1866,Modern Family,(2009– ),8.4,,302111,"Comedy, Romance"
1867,Up in the Air,(I) (2009),7.4,83.0,296586,"Drama, Romance"
1868,3 Idiots,(2009),8.4,67.0,288735,"Comedy, Drama"
1869,The Proposal,(I) (2009),6.7,,265047,"Comedy, Drama, Romance"
1870,The Blind Side,(2009),7.7,,259908,"Biography, Drama, Sport"
1871,Public Enemies,(2009),7.0,70.0,256872,"Biography, Crime, Drama"
1872,The Vampire Diaries,(2009–2017),7.7,,256781,"Drama, Fantasy, Horror"
1873,Angels & Demons,(2009),6.7,,246936,"Mystery, Thriller"
1874,Law Abiding Citizen,(2009),7.4,,246698,"Crime, Drama, Thriller"
1875,The Twilight Saga: New Moon,(2009),4.7,,243814,"Adventure, Drama, Fantasy"
1876,Fast & Furious,(2009),6.6,,236689,"Action, Crime, Thriller"
1877,Hachi: A Dog's Tale,(2009),8.1,,215358,"Drama, Family"
1878,Knowing,(2009),6.2,,205755,"Action, Drama, Mystery"
1879,The Road,(I) (2009),7.3,64.0,202920,"Adventure, Drama"
1880,Ice Age: Dawn of the Dinosaurs,(2009),7.0,,197012,"Animation, Action, Adventure"
1881,The Girl with the Dragon Tattoo,(2009),7.8,76.0,194371,"Crime, Drama, Mystery"
1882,Mr. Nobody,(2009),7.9,63.0,191667,"Drama, Fantasy, Romance"
1883,G.I. Joe: The Rise of Cobra,(2009),5.8,,189104,"Action, Adventure, Sci-Fi"
1884,The Ugly Truth,(2009),6.5,,185943,"Comedy, Romance"
1885,"I Love You, Man",(2009),7.0,70.0,182965,"Comedy, Romance"
1886,Cloudy with a Chance of Meatballs,(2009),7.0,66.0,180737,"Animation, Action, Adventure"
1887,Coraline,(2009),7.7,80.0,174830,"Animation, Drama, Fantasy"
1888,Drag Me to Hell,(2009),6.6,83.0,174492,"Horror, Thriller"
1889,Fantastic Mr. Fox,(2009),7.8,83.0,171749,"Animation, Adventure, Comedy"
1890,Orphan,(2009),7.0,,171231,"Horror, Mystery, Thriller"
1891,Community,(2009–2015),8.5,,169941,Comedy
1892,The Taking of Pelham 123,(2009),6.4,,169585,"Action, Crime, Thriller"
1893,The Secret in Their Eyes,(2009),8.2,80.0,168225,"Drama, Mystery, Romance"
1894,Parks and Recreation,(2009–2015),8.6,,166596,Comedy
1895,17 Again,(2009),6.4,,163599,"Comedy, Drama, Fantasy"
1896,Surrogates,(2009),6.3,,161699,"Action, Sci-Fi, Thriller"
1897,Night at the Museum: Battle of the Smithsonian,(2009),6.0,,155713,"Adventure, Comedy, Family"
1898,Mary and Max,(2009),8.1,,147477,"Animation, Comedy, Drama"
1899,He's Just Not That Into You,(2009),6.4,,147152,"Comedy, Drama, Romance"
1900,Inglourious Basterds,(2009),8.3,69.0,1083644,"Adventure, Drama, War"
1901,Avatar,(2009),7.8,83.0,1015337,"Action, Adventure, Fantasy"
1902,Up,(2009),8.3,88.0,818161,"Animation, Adventure, Comedy"
1903,The Hangover,(2009),7.7,73.0,655209,Comedy
1904,District 9,(2009),7.9,81.0,593882,"Sci-Fi, Thriller"
1905,Star Trek,(2009),8.0,82.0,550490,"Action, Adventure, Sci-Fi"
1906,Sherlock Holmes,(2009),7.6,,538624,"Action, Adventure, Crime"
1907,Zombieland,(2009),7.7,73.0,446046,"Adventure, Comedy, Horror"
1908,Watchmen,(2009),7.6,,443304,"Action, Drama, Mystery"
1909,500 Days of Summer,(2009),7.7,76.0,432001,"Comedy, Drama, Romance"
1910,X-Men Origins: Wolverine,(2009),6.6,,424858,"Action, Adventure, Sci-Fi"
1911,Harry Potter and the Half-Blood Prince,(2009),7.6,78.0,402347,"Adventure, Family, Fantasy"
1912,Transformers: Revenge of the Fallen,(2009),6.0,,358483,"Action, Adventure, Sci-Fi"
1913,2012,(I) (2009),5.8,,320912,"Action, Adventure, Sci-Fi"
1914,Terminator Salvation,(2009),6.6,,315200,"Action, Adventure, Sci-Fi"
1915,Moon,(2009),7.9,67.0,305460,"Drama, Mystery, Sci-Fi"
1916,Modern Family,(2009– ),8.4,,302111,"Comedy, Romance"
1917,Up in the Air,(I) (2009),7.4,83.0,296586,"Drama, Romance"
1918,3 Idiots,(2009),8.4,67.0,288735,"Comedy, Drama"
1919,The Proposal,(I) (2009),6.7,,265047,"Comedy, Drama, Romance"
1920,The Blind Side,(2009),7.7,,259908,"Biography, Drama, Sport"
1921,Public Enemies,(2009),7.0,70.0,256872,"Biography, Crime, Drama"
1922,The Vampire Diaries,(2009–2017),7.7,,256781,"Drama, Fantasy, Horror"
1923,Angels & Demons,(2009),6.7,,246936,"Mystery, Thriller"
1924,Law Abiding Citizen,(2009),7.4,,246698,"Crime, Drama, Thriller"
1925,The Twilight Saga: New Moon,(2009),4.7,,243814,"Adventure, Drama, Fantasy"
1926,Fast & Furious,(2009),6.6,,236689,"Action, Crime, Thriller"
1927,Hachi: A Dog's Tale,(2009),8.1,,215358,"Drama, Family"
1928,Knowing,(2009),6.2,,205755,"Action, Drama, Mystery"
1929,The Road,(I) (2009),7.3,64.0,202920,"Adventure, Drama"
1930,Ice Age: Dawn of the Dinosaurs,(2009),7.0,,197012,"Animation, Action, Adventure"
1931,The Girl with the Dragon Tattoo,(2009),7.8,76.0,194371,"Crime, Drama, Mystery"
1932,Mr. Nobody,(2009),7.9,63.0,191667,"Drama, Fantasy, Romance"
1933,G.I. Joe: The Rise of Cobra,(2009),5.8,,189104,"Action, Adventure, Sci-Fi"
1934,The Ugly Truth,(2009),6.5,,185943,"Comedy, Romance"
1935,"I Love You, Man",(2009),7.0,70.0,182965,"Comedy, Romance"
1936,Cloudy with a Chance of Meatballs,(2009),7.0,66.0,180737,"Animation, Action, Adventure"
1937,Coraline,(2009),7.7,80.0,174830,"Animation, Drama, Fantasy"
1938,Drag Me to Hell,(2009),6.6,83.0,174492,"Horror, Thriller"
1939,Fantastic Mr. Fox,(2009),7.8,83.0,171749,"Animation, Adventure, Comedy"
1940,Orphan,(2009),7.0,,171231,"Horror, Mystery, Thriller"
1941,Community,(2009–2015),8.5,,169941,Comedy
1942,The Taking of Pelham 123,(2009),6.4,,169585,"Action, Crime, Thriller"
1943,The Secret in Their Eyes,(2009),8.2,80.0,168225,"Drama, Mystery, Romance"
1944,Parks and Recreation,(2009–2015),8.6,,166596,Comedy
1945,17 Again,(2009),6.4,,163599,"Comedy, Drama, Fantasy"
1946,Surrogates,(2009),6.3,,161699,"Action, Sci-Fi, Thriller"
1947,Night at the Museum: Battle of the Smithsonian,(2009),6.0,,155713,"Adventure, Comedy, Family"
1948,Mary and Max,(2009),8.1,,147477,"Animation, Comedy, Drama"
1949,He's Just Not That Into You,(2009),6.4,,147152,"Comedy, Drama, Romance"
1950,Inglourious Basterds,(2009),8.3,69.0,1083644,"Adventure, Drama, War"
1951,Avatar,(2009),7.8,83.0,1015337,"Action, Adventure, Fantasy"
1952,Up,(2009),8.3,88.0,818161,"Animation, Adventure, Comedy"
1953,The Hangover,(2009),7.7,73.0,655209,Comedy
1954,District 9,(2009),7.9,81.0,593882,"Sci-Fi, Thriller"
1955,Star Trek,(2009),8.0,82.0,550490,"Action, Adventure, Sci-Fi"
1956,Sherlock Holmes,(2009),7.6,,538624,"Action, Adventure, Crime"
1957,Zombieland,(2009),7.7,73.0,446046,"Adventure, Comedy, Horror"
1958,Watchmen,(2009),7.6,,443304,"Action, Drama, Mystery"
1959,500 Days of Summer,(2009),7.7,76.0,432001,"Comedy, Drama, Romance"
1960,X-Men Origins: Wolverine,(2009),6.6,,424858,"Action, Adventure, Sci-Fi"
1961,Harry Potter and the Half-Blood Prince,(2009),7.6,78.0,402347,"Adventure, Family, Fantasy"
1962,Transformers: Revenge of the Fallen,(2009),6.0,,358483,"Action, Adventure, Sci-Fi"
1963,2012,(I) (2009),5.8,,320912,"Action, Adventure, Sci-Fi"
1964,Terminator Salvation,(2009),6.6,,315200,"Action, Adventure, Sci-Fi"
1965,Moon,(2009),7.9,67.0,305460,"Drama, Mystery, Sci-Fi"
1966,Modern Family,(2009– ),8.4,,302111,"Comedy, Romance"
1967,Up in the Air,(I) (2009),7.4,83.0,296586,"Drama, Romance"
1968,3 Idiots,(2009),8.4,67.0,288735,"Comedy, Drama"
1969,The Proposal,(I) (2009),6.7,,265047,"Comedy, Drama, Romance"
1970,The Blind Side,(2009),7.7,,259908,"Biography, Drama, Sport"
1971,Public Enemies,(2009),7.0,70.0,256872,"Biography, Crime, Drama"
1972,The Vampire Diaries,(2009–2017),7.7,,256781,"Drama, Fantasy, Horror"
1973,Angels & Demons,(2009),6.7,,246936,"Mystery, Thriller"
1974,Law Abiding Citizen,(2009),7.4,,246698,"Crime, Drama, Thriller"
1975,The Twilight Saga: New Moon,(2009),4.7,,243814,"Adventure, Drama, Fantasy"
1976,Fast & Furious,(2009),6.6,,236689,"Action, Crime, Thriller"
1977,Hachi: A Dog's Tale,(2009),8.1,,215358,"Drama, Family"
1978,Knowing,(2009),6.2,,205755,"Action, Drama, Mystery"
1979,The Road,(I) (2009),7.3,64.0,202920,"Adventure, Drama"
1980,Ice Age: Dawn of the Dinosaurs,(2009),7.0,,197012,"Animation, Action, Adventure"
1981,The Girl with the Dragon Tattoo,(2009),7.8,76.0,194371,"Crime, Drama, Mystery"
1982,Mr. Nobody,(2009),7.9,63.0,191667,"Drama, Fantasy, Romance"
1983,G.I. Joe: The Rise of Cobra,(2009),5.8,,189104,"Action, Adventure, Sci-Fi"
1984,The Ugly Truth,(2009),6.5,,185943,"Comedy, Romance"
1985,"I Love You, Man",(2009),7.0,70.0,182965,"Comedy, Romance"
1986,Cloudy with a Chance of Meatballs,(2009),7.0,66.0,180737,"Animation, Action, Adventure"
1987,Coraline,(2009),7.7,80.0,174830,"Animation, Drama, Fantasy"
1988,Drag Me to Hell,(2009),6.6,83.0,174492,"Horror, Thriller"
1989,Fantastic Mr. Fox,(2009),7.8,83.0,171749,"Animation, Adventure, Comedy"
1990,Orphan,(2009),7.0,,171231,"Horror, Mystery, Thriller"
1991,Community,(2009–2015),8.5,,169941,Comedy
1992,The Taking of Pelham 123,(2009),6.4,,169585,"Action, Crime, Thriller"
1993,The Secret in Their Eyes,(2009),8.2,80.0,168225,"Drama, Mystery, Romance"
1994,Parks and Recreation,(2009–2015),8.6,,166596,Comedy
1995,17 Again,(2009),6.4,,163599,"Comedy, Drama, Fantasy"
1996,Surrogates,(2009),6.3,,161699,"Action, Sci-Fi, Thriller"
1997,Night at the Museum: Battle of the Smithsonian,(2009),6.0,,155713,"Adventure, Comedy, Family"
1998,Mary and Max,(2009),8.1,,147477,"Animation, Comedy, Drama"
1999,He's Just Not That Into You,(2009),6.4,,147152,"Comedy, Drama, Romance"
2000,Inception,(2010),8.8,74.0,1779740,"Action, Adventure, Sci-Fi"
2001,Shutter Island,(2010),8.1,63.0,972599,"Mystery, Thriller"
2002,The Walking Dead,(2010– ),8.4,,764762,"Drama, Horror, Sci-Fi"
2003,Sherlock,(2010– ),9.2,,675408,"Crime, Drama, Mystery"
2004,Toy Story 3,(2010),8.3,92.0,660750,"Animation, Adventure, Comedy"
2005,Black Swan,(2010),8.0,79.0,632572,"Drama, Thriller"
2006,Iron Man 2,(2010),7.0,,625769,"Action, Sci-Fi"
2007,How to Train Your Dragon,(2010),8.1,74.0,588525,"Animation, Action, Adventure"
2008,The King's Speech,(2010),8.0,88.0,579815,"Biography, Drama, History"
2009,The Social Network,(2010),7.7,95.0,557022,"Biography, Drama"
2010,Kick-Ass,(2010),7.6,66.0,488252,"Action, Comedy"
2011,Despicable Me,(2010),7.7,72.0,451803,"Animation, Comedy, Family"
2012,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65.0,409491,"Adventure, Fantasy, Mystery"
2013,Tangled,(2010),7.8,71.0,353796,"Animation, Adventure, Comedy"
2014,Alice in Wonderland,(I) (2010),6.5,,350701,"Adventure, Family, Fantasy"
2015,Scott Pilgrim vs. the World,(2010),7.5,69.0,328731,"Action, Comedy, Fantasy"
2016,Easy A,(2010),7.1,72.0,321974,"Comedy, Drama, Romance"
2017,127 Hours,(2010),7.6,82.0,316827,"Adventure, Biography, Drama"
2018,The Town,(2010),7.6,74.0,316353,"Crime, Drama, Thriller"
2019,The Fighter,(I) (2010),7.8,79.0,310116,"Biography, Drama, Sport"
2020,The Expendables,(2010),6.5,,302418,"Action, Adventure, Thriller"
2021,Due Date,(2010),6.6,,298936,"Adventure, Comedy"
2022,TRON: Legacy,(2010),6.8,,291152,"Action, Adventure, Fantasy"
2023,True Grit,(2010),7.6,80.0,276952,"Adventure, Drama, Western"
2024,Salt,(2010),6.4,65.0,272999,"Action, Mystery, Thriller"
2025,RED,(2010),7.1,,266934,"Action, Comedy, Crime"
2026,The Book of Eli,(2010),6.9,,264475,"Action, Adventure, Drama"
2027,Clash of the Titans,(2010),5.8,,251795,"Action, Adventure, Fantasy"
2028,Prince of Persia: The Sands of Time,(2010),6.6,,249556,"Action, Adventure, Fantasy"
2029,Insidious,(I) (2010),6.8,,246467,"Horror, Mystery, Thriller"
2030,Robin Hood,(2010),6.7,,235566,"Action, Adventure, Drama"
2031,The A-Team,(2010),6.8,,231908,"Action, Adventure, Comedy"
2032,The Other Guys,(2010),6.7,64.0,216446,"Action, Comedy, Crime"
2033,The Twilight Saga: Eclipse,(2010),5.0,,206888,"Adventure, Drama, Fantasy"
2034,Grown Ups,(I) (2010),6.0,,205804,Comedy
2035,The Tourist,(2010),6.0,,202369,"Action, Adventure, Crime"
2036,Megamind,(2010),7.3,63.0,202165,"Animation, Action, Comedy"
2037,Spartacus,(2010–2013),8.5,,200326,"Action, Adventure, Biography"
2038,Predators,(2010),6.4,,195605,"Action, Adventure, Sci-Fi"
2039,Machete,(2010),6.6,,179739,"Action, Crime, Thriller"
2040,Unstoppable,(2010),6.8,69.0,169603,"Action, Thriller"
2041,Knight and Day,(2010),6.3,,166981,"Action, Adventure, Comedy"
2042,Blue Valentine,(2010),7.4,81.0,166260,"Drama, Romance"
2043,The Next Three Days,(2010),7.4,,164102,"Action, Crime, Drama"
2044,Love & Other Drugs,(2010),6.7,,163949,"Comedy, Drama, Romance"
2045,Shrek Forever After,(2010),6.3,,162142,"Animation, Adventure, Comedy"
2046,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,,161705,"Adventure, Family, Fantasy"
2047,Get Him to the Greek,(2010),6.4,65.0,159627,"Adventure, Comedy, Music"
2048,Boardwalk Empire,(2010–2014),8.6,,156101,"Crime, Drama, History"
2049,Hot Tub Time Machine,(2010),6.4,63.0,151756,"Comedy, Sci-Fi"
2050,Inception,(2010),8.8,74.0,1779740,"Action, Adventure, Sci-Fi"
2051,Shutter Island,(2010),8.1,63.0,972599,"Mystery, Thriller"
2052,The Walking Dead,(2010– ),8.4,,764762,"Drama, Horror, Sci-Fi"
2053,Sherlock,(2010– ),9.2,,675408,"Crime, Drama, Mystery"
2054,Toy Story 3,(2010),8.3,92.0,660750,"Animation, Adventure, Comedy"
2055,Black Swan,(2010),8.0,79.0,632572,"Drama, Thriller"
2056,Iron Man 2,(2010),7.0,,625769,"Action, Sci-Fi"
2057,How to Train Your Dragon,(2010),8.1,74.0,588525,"Animation, Action, Adventure"
2058,The King's Speech,(2010),8.0,88.0,579815,"Biography, Drama, History"
2059,The Social Network,(2010),7.7,95.0,557022,"Biography, Drama"
2060,Kick-Ass,(2010),7.6,66.0,488252,"Action, Comedy"
2061,Despicable Me,(2010),7.7,72.0,451803,"Animation, Comedy, Family"
2062,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65.0,409491,"Adventure, Fantasy, Mystery"
2063,Tangled,(2010),7.8,71.0,353796,"Animation, Adventure, Comedy"
2064,Alice in Wonderland,(I) (2010),6.5,,350701,"Adventure, Family, Fantasy"
2065,Scott Pilgrim vs. the World,(2010),7.5,69.0,328731,"Action, Comedy, Fantasy"
2066,Easy A,(2010),7.1,72.0,321974,"Comedy, Drama, Romance"
2067,127 Hours,(2010),7.6,82.0,316827,"Adventure, Biography, Drama"
2068,The Town,(2010),7.6,74.0,316353,"Crime, Drama, Thriller"
2069,The Fighter,(I) (2010),7.8,79.0,310116,"Biography, Drama, Sport"
2070,The Expendables,(2010),6.5,,302418,"Action, Adventure, Thriller"
2071,Due Date,(2010),6.6,,298936,"Adventure, Comedy"
2072,TRON: Legacy,(2010),6.8,,291152,"Action, Adventure, Fantasy"
2073,True Grit,(2010),7.6,80.0,276952,"Adventure, Drama, Western"
2074,Salt,(2010),6.4,65.0,272999,"Action, Mystery, Thriller"
2075,RED,(2010),7.1,,266934,"Action, Comedy, Crime"
2076,The Book of Eli,(2010),6.9,,264475,"Action, Adventure, Drama"
2077,Clash of the Titans,(2010),5.8,,251795,"Action, Adventure, Fantasy"
2078,Prince of Persia: The Sands of Time,(2010),6.6,,249556,"Action, Adventure, Fantasy"
2079,Insidious,(I) (2010),6.8,,246467,"Horror, Mystery, Thriller"
2080,Robin Hood,(2010),6.7,,235566,"Action, Adventure, Drama"
2081,The A-Team,(2010),6.8,,231908,"Action, Adventure, Comedy"
2082,The Other Guys,(2010),6.7,64.0,216446,"Action, Comedy, Crime"
2083,The Twilight Saga: Eclipse,(2010),5.0,,206888,"Adventure, Drama, Fantasy"
2084,Grown Ups,(I) (2010),6.0,,205804,Comedy
2085,The Tourist,(2010),6.0,,202369,"Action, Adventure, Crime"
2086,Megamind,(2010),7.3,63.0,202165,"Animation, Action, Comedy"
2087,Spartacus,(2010–2013),8.5,,200326,"Action, Adventure, Biography"
2088,Predators,(2010),6.4,,195605,"Action, Adventure, Sci-Fi"
2089,Machete,(2010),6.6,,179739,"Action, Crime, Thriller"
2090,Unstoppable,(2010),6.8,69.0,169603,"Action, Thriller"
2091,Knight and Day,(2010),6.3,,166981,"Action, Adventure, Comedy"
2092,Blue Valentine,(2010),7.4,81.0,166260,"Drama, Romance"
2093,The Next Three Days,(2010),7.4,,164102,"Action, Crime, Drama"
2094,Love & Other Drugs,(2010),6.7,,163949,"Comedy, Drama, Romance"
2095,Shrek Forever After,(2010),6.3,,162142,"Animation, Adventure, Comedy"
2096,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,,161705,"Adventure, Family, Fantasy"
2097,Get Him to the Greek,(2010),6.4,65.0,159627,"Adventure, Comedy, Music"
2098,Boardwalk Empire,(2010–2014),8.6,,156101,"Crime, Drama, History"
2099,Hot Tub Time Machine,(2010),6.4,63.0,151756,"Comedy, Sci-Fi"
2100,Inception,(2010),8.8,74.0,1779740,"Action, Adventure, Sci-Fi"
2101,Shutter Island,(2010),8.1,63.0,972599,"Mystery, Thriller"
2102,The Walking Dead,(2010– ),8.4,,764762,"Drama, Horror, Sci-Fi"
2103,Sherlock,(2010– ),9.2,,675408,"Crime, Drama, Mystery"
2104,Toy Story 3,(2010),8.3,92.0,660750,"Animation, Adventure, Comedy"
2105,Black Swan,(2010),8.0,79.0,632572,"Drama, Thriller"
2106,Iron Man 2,(2010),7.0,,625769,"Action, Sci-Fi"
2107,How to Train Your Dragon,(2010),8.1,74.0,588525,"Animation, Action, Adventure"
2108,The King's Speech,(2010),8.0,88.0,579815,"Biography, Drama, History"
2109,The Social Network,(2010),7.7,95.0,557022,"Biography, Drama"
2110,Kick-Ass,(2010),7.6,66.0,488252,"Action, Comedy"
2111,Despicable Me,(2010),7.7,72.0,451803,"Animation, Comedy, Family"
2112,Harry Potter and the Deathly Hallows: Part 1,(2010),7.7,65.0,409491,"Adventure, Fantasy, Mystery"
2113,Tangled,(2010),7.8,71.0,353796,"Animation, Adventure, Comedy"
2114,Alice in Wonderland,(I) (2010),6.5,,350701,"Adventure, Family, Fantasy"
2115,Scott Pilgrim vs. the World,(2010),7.5,69.0,328731,"Action, Comedy, Fantasy"
2116,Easy A,(2010),7.1,72.0,321974,"Comedy, Drama, Romance"
2117,127 Hours,(2010),7.6,82.0,316827,"Adventure, Biography, Drama"
2118,The Town,(2010),7.6,74.0,316353,"Crime, Drama, Thriller"
2119,The Fighter,(I) (2010),7.8,79.0,310116,"Biography, Drama, Sport"
2120,The Expendables,(2010),6.5,,302418,"Action, Adventure, Thriller"
2121,Due Date,(2010),6.6,,298936,"Adventure, Comedy"
2122,TRON: Legacy,(2010),6.8,,291152,"Action, Adventure, Fantasy"
2123,True Grit,(2010),7.6,80.0,276952,"Adventure, Drama, Western"
2124,Salt,(2010),6.4,65.0,272999,"Action, Mystery, Thriller"
2125,RED,(2010),7.1,,266934,"Action, Comedy, Crime"
2126,The Book of Eli,(2010),6.9,,264475,"Action, Adventure, Drama"
2127,Clash of the Titans,(2010),5.8,,251795,"Action, Adventure, Fantasy"
2128,Prince of Persia: The Sands of Time,(2010),6.6,,249556,"Action, Adventure, Fantasy"
2129,Insidious,(I) (2010),6.8,,246467,"Horror, Mystery, Thriller"
2130,Robin Hood,(2010),6.7,,235566,"Action, Adventure, Drama"
2131,The A-Team,(2010),6.8,,231908,"Action, Adventure, Comedy"
2132,The Other Guys,(2010),6.7,64.0,216446,"Action, Comedy, Crime"
2133,The Twilight Saga: Eclipse,(2010),5.0,,206888,"Adventure, Drama, Fantasy"
2134,Grown Ups,(I) (2010),6.0,,205804,Comedy
2135,The Tourist,(2010),6.0,,202369,"Action, Adventure, Crime"
2136,Megamind,(2010),7.3,63.0,202165,"Animation, Action, Comedy"
2137,Spartacus,(2010–2013),8.5,,200326,"Action, Adventure, Biography"
2138,Predators,(2010),6.4,,195605,"Action, Adventure, Sci-Fi"
2139,Machete,(2010),6.6,,179739,"Action, Crime, Thriller"
2140,Unstoppable,(2010),6.8,69.0,169603,"Action, Thriller"
2141,Knight and Day,(2010),6.3,,166981,"Action, Adventure, Comedy"
2142,Blue Valentine,(2010),7.4,81.0,166260,"Drama, Romance"
2143,The Next Three Days,(2010),7.4,,164102,"Action, Crime, Drama"
2144,Love & Other Drugs,(2010),6.7,,163949,"Comedy, Drama, Romance"
2145,Shrek Forever After,(2010),6.3,,162142,"Animation, Adventure, Comedy"
2146,Percy Jackson & the Olympians: The Lightning Thief,(2010),5.9,,161705,"Adventure, Family, Fantasy"
2147,Get Him to the Greek,(2010),6.4,65.0,159627,"Adventure, Comedy, Music"
2148,Boardwalk Empire,(2010–2014),8.6,,156101,"Crime, Drama, History"
2149,Hot Tub Time Machine,(2010),6.4,63.0,151756,"Comedy, Sci-Fi"
2150,Inception,(2010),8.8,74.0,1779740,"Action, Adventure, Sci-Fi"
